date,lat,long,num_pickups
1/30/2009,41.366138,-73.137393,530
6/23/2009,41.366138,-73.137393,529
1/11/2009,41.366138,-73.137393,525
2/7/2009,41.366138,-73.137393,524
2/5/2009,41.366138,-73.137393,520
1/27/2009,41.366138,-73.137393,519
1/4/2009,41.366138,-73.137393,519
7/11/2009,41.366138,-73.137393,517
3/16/2009,41.366138,-73.137393,517
5/9/2009,41.366138,-73.137393,515
8/24/2009,41.366138,-73.137393,515
2/4/2009,41.366138,-73.137393,515
5/30/2009,41.366138,-73.137393,515
5/26/2009,41.366138,-73.137393,513
6/15/2009,41.366138,-73.137393,512
4/6/2009,41.366138,-73.137393,511
6/22/2009,41.366138,-73.137393,506
8/22/2009,41.366138,-73.137393,506
8/15/2009,41.366138,-73.137393,504
6/27/2009,41.366138,-73.137393,502
9/20/2009,41.366138,-73.137393,502
3/17/2009,41.366138,-73.137393,502
6/2/2009,41.366138,-73.137393,500
4/26/2009,41.366138,-73.137393,497
3/3/2009,41.366138,-73.137393,494
7/6/2009,41.366138,-73.137393,493
6/29/2009,41.366138,-73.137393,492
2/3/2009,41.366138,-73.137393,492
2/16/2009,41.366138,-73.137393,481
5/23/2009,41.366138,-73.137393,481
3/14/2009,41.366138,-73.137393,480
3/23/2009,41.366138,-73.137393,475
9/5/2009,41.366138,-73.137393,472
2/9/2009,41.366138,-73.137393,466
5/18/2009,41.366138,-73.137393,462
9/7/2009,41.366138,-73.137393,460
6/6/2009,41.366138,-73.137393,442
8/30/2009,41.366138,-73.137393,440
12/25/2009,41.366138,-73.137393,440
7/3/2009,41.366138,-73.137393,434
7/19/2009,41.366138,-73.137393,424
8/9/2009,41.366138,-73.137393,421
5/11/2009,41.366138,-73.137393,419
1/31/2009,41.366138,-73.137393,417
6/7/2009,41.366138,-73.137393,414
7/26/2009,41.366138,-73.137393,404
8/23/2009,41.366138,-73.137393,403
2/15/2009,41.366138,-73.137393,396
6/14/2009,41.366138,-73.137393,395
5/17/2009,41.366138,-73.137393,389
8/2/2009,41.366138,-73.137393,387
3/29/2009,41.366138,-73.137393,383
6/28/2009,41.366138,-73.137393,382
12/20/2009,41.366138,-73.137393,382
7/12/2009,41.366138,-73.137393,381
4/5/2009,41.366138,-73.137393,378
5/10/2009,41.366138,-73.137393,375
9/6/2009,41.366138,-73.137393,367
2/2/2009,41.366138,-73.137393,366
3/19/2009,41.366138,-73.137393,365
5/3/2009,41.366138,-73.137393,353
8/16/2009,41.366138,-73.137393,351
3/8/2009,41.366138,-73.137393,343
3/2/2009,41.366138,-73.137393,336
2/1/2009,41.366138,-73.137393,335
7/4/2009,41.366138,-73.137393,330
6/21/2009,41.366138,-73.137393,327
3/15/2009,41.366138,-73.137393,324
3/22/2009,41.366138,-73.137393,324
4/12/2009,41.366138,-73.137393,323
4/19/2009,41.366138,-73.137393,322
3/1/2009,41.366138,-73.137393,302
2/8/2009,41.366138,-73.137393,296
2/22/2009,41.366138,-73.137393,293
5/25/2009,41.366138,-73.137393,284
5/24/2009,41.366138,-73.137393,274
7/5/2009,41.366138,-73.137393,258
12/13/2009,40.715887,-73.951275,86
12/10/2009,40.75811,-73.937405,84
3/12/2009,40.733697,-73.951818,84
10/8/2009,40.752415,-73.924065,81
3/29/2009,40.749294,-73.942351,81
4/6/2009,40.755887,-73.99835,80
12/16/2009,40.778492,-73.95135,80
9/25/2009,40.757988,-73.99316,80
6/26/2009,40.733697,-73.951818,79
12/28/2009,40.811848,-73.93622,79
9/16/2009,40.752415,-73.924065,78
10/2/2009,40.656907,-73.794738,78
10/9/2009,40.757988,-73.99316,78
10/13/2009,40.757988,-73.99316,78
4/17/2009,40.733697,-73.951818,77
2/20/2009,40.733697,-73.951818,77
2/17/2009,40.733697,-73.951818,77
9/22/2009,40.752415,-73.924065,77
1/23/2009,40.733697,-73.951818,77
11/30/2009,40.783457,-73.947687,76
1/16/2009,40.733697,-73.951818,76
9/27/2009,40.733697,-73.951818,76
1/17/2009,40.733697,-73.951818,76
3/18/2009,41.366138,-73.137393,75
9/10/2009,40.752415,-73.924065,75
5/2/2009,40.733697,-73.951818,75
8/21/2009,40.733697,-73.951818,75
7/31/2009,40.733697,-73.951818,75
11/1/2009,40.728638,-74.000478,74
9/14/2009,40.733697,-73.951818,74
11/21/2009,40.736063,-73.91192,74
10/30/2009,40.757988,-73.99316,74
9/20/2009,40.738223,-74.008918,74
1/15/2009,40.733697,-73.951818,74
1/31/2009,40.733697,-73.951818,74
8/18/2009,40.754315,-73.912773,74
5/18/2009,40.713577,-74.013967,74
4/5/2009,40.78723,-73.97413,74
7/24/2009,40.733697,-73.951818,74
6/17/2009,40.733697,-73.951818,74
5/14/2009,40.733697,-73.951818,74
5/29/2009,40.752364,-73.933672,74
9/12/2009,40.733697,-73.951818,73
3/26/2009,40.752364,-73.933672,73
10/1/2009,40.752415,-73.924065,73
5/8/2009,40.733697,-73.951818,73
2/21/2009,40.733697,-73.951818,73
5/15/2009,40.733697,-73.951818,73
10/29/2009,40.757988,-73.99316,72
7/17/2009,40.733697,-73.951818,72
1/1/2009,40.758087,-73.989054,72
3/27/2009,40.733697,-73.951818,72
2/13/2009,40.789378,-73.937347,72
12/26/2009,40.811848,-73.93622,72
8/14/2009,40.733697,-73.951818,72
4/8/2009,40.733697,-73.951818,72
6/11/2009,40.733697,-73.951818,72
10/24/2009,40.773775,-73.873787,72
12/22/2009,40.674845,-74.172702,72
10/14/2009,40.740276,-74.002135,72
6/11/2009,40.749807,-73.989008,72
3/29/2009,40.752364,-73.933672,72
2/7/2009,40.733697,-73.951818,71
4/25/2009,40.733697,-73.951818,71
10/18/2009,40.73942,-73.976665,71
2/23/2009,40.737767,-73.865867,71
3/4/2009,40.733697,-73.951818,71
1/30/2009,40.733697,-73.951818,71
2/20/2009,40.758083,-73.989045,71
7/16/2009,40.733697,-73.951818,71
2/18/2009,40.733697,-73.951818,71
6/24/2009,40.733697,-73.951818,71
6/10/2009,40.749807,-73.989008,71
10/2/2009,40.764843,-73.988097,71
10/17/2009,40.752364,-73.933672,70
